mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	decrescendo_hairpin
15	14	56	56	0.5		3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	201											
15	14	113/2	113/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	202											
15	14	53	53	0.0		0	0	Spanner	4/4	3	1	0																
15	14	53	53	0.5		0	0	Chord	4/4	3	1	1/8			1/8	1	203											
15	14	107/2	107/2	0.5		1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	204											
15	14	54	54	0.5		1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	205											
15	14	109/2	109/2	0.5		3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	206											
15	14	55	55	0.0		1/2	1/2	Dynamic	4/4	3	1	0						other-dynamics										
15	14	55	55	0.0		1/2	1/2	Spanner	4/4	3	1	0																6
15	14	55	55	2.0		1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	207											6
15	14	53	53	0.0		0	0	Spanner	4/4	4	1	0																
15	14	53	53	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	208											
15	14	107/2	107/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	209											
15	14	54	54	0.5		1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	210											
15	14	109/2	109/2	0.5		3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	211											
15	14	55	55	0.0		1/2	1/2	Dynamic	4/4	4	1	0						other-dynamics										
15	14	55	55	0.0		1/2	1/2	Spanner	4/4	4	1	0																7
15	14	55	55	2.0		1/2	1/2	Chord	4/4	4	1	1/2			1/2	1	212											7
16	15	57	57	1.0		0	0	Chord	4/4	1	1	1/4			1/4	1	213											
16	15	58	58	1.0		1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	214											
16	15	59	59	1.0		1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	215											
16	15	60	60	1.0		3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	216											
16	15	57	57	1.0		0	0	Chord	4/4	2	1	1/4			1/4	1	217											
16	15	58	58	1.0		1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	218											
16	15	59	59	1.0		1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	219											
16	15	60	60	1.0		3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	220											
16	15	57	57	0.0		0	0	Spanner	4/4	3	1	0																
16	15	57	57	0.5		0	0	Chord	4/4	3	1	1/8			1/8	1	221									29		
16	15	115/2	115/2	0.5		1/8	1/8	Chord	4/4	3	1	1/8			1/8	1	222									29		
16	15	58	58	0.5		1/4	1/4	Chord	4/4	3	1	1/8			1/8	1	223									29		
16	15	117/2	117/2	0.5		3/8	3/8	Chord	4/4	3	1	1/8			1/8	1	224											
16	15	59	59	0.5		1/2	1/2	Chord	4/4	3	1	1/8			1/8	1	225									30		
16	15	119/2	119/2	0.5		5/8	5/8	Chord	4/4	3	1	1/8			1/8	1	226									30		
16	15	60	60	0.5		3/4	3/4	Chord	4/4	3	1	1/8			1/8	1	227									30		
16	15	121/2	121/2	0.5		7/8	7/8	Chord	4/4	3	1	1/8			1/8	1	228											
16	15	57	57	0.0		0	0	Spanner	4/4	4	1	0																
16	15	57	57	0.5		0	0	Chord	4/4	4	1	1/8			1/8	1	229									31		
16	15	115/2	115/2	0.5		1/8	1/8	Chord	4/4	4	1	1/8			1/8	1	230									31		
16	15	58	58	0.5		1/4	1/4	Chord	4/4	4	1	1/8			1/8	1	231									31		
16	15	117/2	117/2	0.5		3/8	3/8	Chord	4/4	4	1	1/8			1/8	1	232											
16	15	59	59	0.5		1/2	1/2	Chord	4/4	4	1	1/8			1/8	1	233									32		
16	15	119/2	119/2	0.5		5/8	5/8	Chord	4/4	4	1	1/8			1/8	1	234									32		
16	15	60	60	0.5		3/4	3/4	Chord	4/4	4	1	1/8			1/8	1	235									32		
16	15	121/2	121/2	0.5		7/8	7/8	Chord	4/4	4	1	1/8			1/8	1	236											
17	16	61	61	0.0		0	0	Dynamic	4/4	1	1	0						ff										
17	16	61	61	2.0		0	0	Chord	4/4	1	1	1/2			1/2	1	237											
17	16	63	63	2.0		1/2	1/2	Chord	4/4	1	1	1/2			1/2	1	238											
17	16	61	61	0.0		0	0	Dynamic	4/4	2	1	0						f										
17	16	61	61	0.25		0	0	Chord	4/4	2	1	1/16			1/16	1	239											
17	16	245/4	245/4	0.25		1/16	1/16	Chord	4/4	2	1	1/16			1/16	1	240											
17	16	123/2	123/2	0.25		1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	241											
17	16	247/4	247/4	0.25		3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	242											
17	16	62	62	1.0		1/4	1/4	Chord	4/4	2	1	1/4		r16	1/4	1	243											
17	16	63	63	2.0		1/2	1/2	Chord	4/4	2	1	1/2		r16	1/2	1	244											
